DOClass,Disease,DiseaseClass,EvidenceIndexGDA,EvidenceLevelGDA,FirstRef,Gene,GeneDPI,GeneDSI,GeneFullName,GenePLI,HPOClass,LastRef,NumDiseasesAssociatedToGene,NumGenesDisease,NumPMIDs,NumVariantsAssociatedToGene,NumVariantsDisease,NumVariantsGDA,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,SemanticType,Type,UnitProt,diseaseUMLSCUI,geneEnsemblIDs,geneNcbiID,geneNcbiType,numCTs,numberChemsIncludedInEvidence,numberPmidsWithChemsIncludedInEvidence
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2012.0,LEPR,0.96,0.41,leptin receptor,8.8607e-05,Abnormality of the cardiovascular system (01626),2012.0,67,301,1,98,371,0,R-HSA-162582,Signal Transduction,Signaling,0.85,Disease or Syndrome (T047),disease,"P48357,Q4G138",C0020538,ENSG00000116678,3953,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9473684210526316,,2009.0,ATP2B1,0.83,0.57,ATPase plasma membrane Ca2+ transporting 1,1.0,Abnormality of the cardiovascular system (01626),2009.0,16,301,1,44,371,9,"R-HSA-109582,R-HSA-382551,R-HSA-397014,R-HSA-9709957","Hemostasis,Transport of small molecules,Muscle contraction,Sensory Perception",Transporter,0.85,Disease or Syndrome (T047),disease,P20020,C0020538,ENSG00000070961,490,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9523809523809524,,2003.0,EDNRA,0.91,0.44,endothelin receptor type A,0.99906,Abnormality of the cardiovascular system (01626),2003.0,19,301,1,12,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.85,Disease or Syndrome (T047),disease,P25101,C0020538,ENSG00000151617,1909,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9285714285714286,,2006.0,UCP2,0.91,0.47,uncoupling protein 2,1.1875e-08,Abnormality of the cardiovascular system (01626),2006.0,20,301,1,3,371,0,R-HSA-1430728,Metabolism,Transporter,0.85,Disease or Syndrome (T047),disease,P55851,C0020538,ENSG00000175567,7351,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8571428571428571,,2012.0,GSTT1,0.96,0.39,glutathione S-transferase theta 1,,Abnormality of the cardiovascular system (01626),2012.0,145,301,1,0,371,0,"R-HSA-1430728,R-HSA-9748784","Metabolism,Drug ADME",,0.85,Disease or Syndrome (T047),disease,"A0A0G2JRQ5,P30711,Q4GZS9,Q4W251,A0A0G2JRN4",C0020538,,2952,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2003.0,KLK1,0.87,0.51,kallikrein 1,8.3143e-07,Abnormality of the cardiovascular system (01626),2003.0,14,301,1,1,371,0,R-HSA-392499,Metabolism of proteins,Enzyme,0.85,Disease or Syndrome (T047),disease,"A0A1R3UCD2,P06870",C0020538,ENSG00000167748,3816,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,1999.0,BDKRB2,0.87,0.5,bradykinin receptor B2,8.0397e-05,Abnormality of the cardiovascular system (01626),1999.0,28,301,1,1,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.85,Disease or Syndrome (T047),disease,P30411,C0020538,ENSG00000168398,624,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8181818181818182,,1998.0,GNAS,0.96,0.38,GNAS complex locus,0.99999,Abnormality of the cardiovascular system (01626),1998.0,65,301,1,130,371,0,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551","Hemostasis,Metabolism,Signal Transduction,Disease,Transport of small molecules",Enzyme modulator,0.85,Disease or Syndrome (T047),disease,"B0AZR9,A0A0S2Z3S5,A0A7I2V5R6,Q5JWF2,P63092,A0A590UJF0,P84996,A0A0S2Z3H8,Q14455,Q5FWY2,Q5JWD1,O95467",C0020538,ENSG00000087460,2778,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,,CLCNKB,0.78,0.55,chloride voltage-gated channel Kb,1.4014999999999998e-22,Abnormality of the cardiovascular system (01626),,12,301,0,50,371,0,R-HSA-382551,Transport of small molecules,Ion channel,0.85,Disease or Syndrome (T047),disease,"P51801,A8K8H0",C0020538,ENSG00000184908,1188,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,NPR3,0.78,0.54,natriuretic peptide receptor 3,1.2655e-05,Abnormality of the cardiovascular system (01626),,4,301,0,37,371,1,,,,0.85,Disease or Syndrome (T047),disease,"P17342,A8K4A5,Q60I31",C0020538,ENSG00000113389,4883,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8888888888888888,,,ALDH2,0.96,0.43,aldehyde dehydrogenase 2 family member,5.8061e-11,Abnormality of the cardiovascular system (01626),,49,301,0,9,371,1,"R-HSA-112316,R-HSA-1430728,R-HSA-392499,R-HSA-397014","Neuronal System,Metabolism,Metabolism of proteins,Muscle contraction",Enzyme,0.85,Disease or Syndrome (T047),disease,"P05091,A0A384NPN7",C0020538,ENSG00000111275,217,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8660714285714286,,1974.0,POMC,0.96,0.32,proopiomelanocortin,3.3396e-10,Abnormality of the cardiovascular system (01626),2010.0,115,301,68,40,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160","Developmental Biology,Metabolism,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)",,0.85,Disease or Syndrome (T047),disease,P01189,C0020538,ENSG00000115138,5443,protein-coding,5,22,26
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7924528301886793,,1992.0,EPO,0.96,0.34,erythropoietin,0.02674,Abnormality of the cardiovascular system (01626),2000.0,78,301,2,9,371,0,"R-HSA-162582,R-HSA-8953897","Signal Transduction,Cellular responses to stimuli",,0.85,Disease or Syndrome (T047),disease,"P01588,G9JKG7",C0020538,ENSG00000130427,2056,protein-coding,6,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9130434782608696,,1991.0,CALCA,0.96,0.33,calcitonin related polypeptide alpha,0.13456,Abnormality of the cardiovascular system (01626),1999.0,22,301,2,0,371,0,"R-HSA-162582,R-HSA-392499","Signal Transduction,Metabolism of proteins",Signaling,0.85,Disease or Syndrome (T047),disease,"P01258,P06881",C0020538,ENSG00000110680,796,protein-coding,2,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7777777777777778,,2012.0,GCG,0.96,0.35,glucagon,0.13736,Abnormality of the cardiovascular system (01626),2012.0,32,301,1,1,371,0,"R-HSA-1430728,R-HSA-162582,R-HSA-392499","Metabolism,Signal Transduction,Metabolism of proteins",,0.85,Disease or Syndrome (T047),disease,P01275,C0020538,ENSG00000115263,2641,protein-coding,8,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9444444444444444,,2004.0,SELP,0.96,0.41,selectin P,4.649199999999999e-21,Abnormality of the cardiovascular system (01626),2004.0,15,301,1,6,371,0,R-HSA-109582,Hemostasis,,0.85,Disease or Syndrome (T047),disease,"Q5R341,Q6NUL9,P16109",C0020538,ENSG00000174175,6403,protein-coding,6,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9090909090909092,,2008.0,SLC12A3,0.87,0.48,solute carrier family 12 member 3,4.595299999999999e-28,Abnormality of the cardiovascular system (01626),2008.0,15,301,1,392,371,0,"R-HSA-1643685,R-HSA-382551","Disease,Transport of small molecules",Transporter,0.85,Disease or Syndrome (T047),disease,P55017,C0020538,ENSG00000070915,6559,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.945945945945946,,2001.0,VDR,0.96,0.34,vitamin D receptor,0.0107,Abnormality of the cardiovascular system (01626),2001.0,72,301,1,151,371,0,"R-HSA-1430728,R-HSA-392499,R-HSA-74160","Metabolism,Metabolism of proteins,Gene expression (Transcription)",Nuclear receptor,0.85,Disease or Syndrome (T047),disease,"P11473,F1D8P8",C0020538,ENSG00000111424,7421,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9411764705882352,,2020.0,NFE2L2,0.91,0.35,NFE2 like bZIP transcription factor 2,0.49709,Abnormality of the cardiovascular system (01626),2020.0,74,301,1,14,371,0,"R-HSA-1643685,R-HSA-392499,R-HSA-8953897","Disease,Metabolism of proteins,Cellular responses to stimuli",Enzyme,0.85,Disease or Syndrome (T047),disease,"A0A8V8TPA8,A0A8V8TN14,Q16236",C0020538,ENSG00000116044,4780,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9629629629629628,,1981.0,KNG1,0.96,0.43,kininogen 1,0.80958,Abnormality of the cardiovascular system (01626),1981.0,28,301,1,12,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-392499","Hemostasis,Signal Transduction,Metabolism of proteins",Enzyme modulator,0.85,Disease or Syndrome (T047),disease,P01042,C0020538,ENSG00000113889,3827,protein-coding,6,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8846153846153846,,2004.0,PTGS2,0.96,0.32,prostaglandin-endoperoxide synthase 2,1.0,Abnormality of the cardiovascular system (01626),2012.0,143,301,4,1,371,0,"R-HSA-1430728,R-HSA-168256","Metabolism,Immune System",Enzyme,0.8,Disease or Syndrome (T047),disease,P35354,C0020538,ENSG00000073756,5743,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.95,,2016.0,NOX4,0.91,0.46,NADPH oxidase 4,1.5907e-07,Abnormality of the cardiovascular system (01626),2020.0,8,301,3,28,371,0,"R-HSA-1643685,R-HSA-8953897","Disease,Cellular responses to stimuli",Enzyme,0.8,Disease or Syndrome (T047),disease,"B7Z529,B7Z523,B3KQ17,Q9NPH5",C0020538,ENSG00000086991,50507,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,2004.0,SCNN1B,0.83,0.57,sodium channel epithelial 1 subunit beta,1.4217e-09,Abnormality of the cardiovascular system (01626),2009.0,18,301,3,77,371,0,"R-HSA-382551,R-HSA-9709957","Transport of small molecules,Sensory Perception",Ion channel,0.8,Disease or Syndrome (T047),disease,"P51168,B2R812",C0020538,ENSG00000168447,6338,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8888888888888888,,2005.0,PPARA,0.91,0.39,peroxisome proliferator activated receptor alpha,0.0034658,Abnormality of the cardiovascular system (01626),2009.0,41,301,2,5,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-1852241,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897","Developmental Biology,Metabolism,Organelle biogenesis and maintenance,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli",Nuclear receptor,0.8,Disease or Syndrome (T047),disease,"F1D8S4,Q07869",C0020538,ENSG00000186951,5465,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8857142857142857,,2005.0,GNB3,0.87,0.52,G protein subunit beta 3,3.7747e-09,Abnormality of the cardiovascular system (01626),2005.0,22,301,2,4,371,0,"R-HSA-109582,R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-392499,R-HSA-9709957","Hemostasis,Neuronal System,Metabolism,Signal Transduction,Disease,Transport of small molecules,Metabolism of proteins,Sensory Perception",Enzyme,0.8,Disease or Syndrome (T047),disease,"E9PCP0,F1T0G5,P16520",C0020538,ENSG00000111664,2784,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2002.0,FOS,0.91,0.36,"Fos proto-oncogene, AP-1 transcription factor subunit",0.8667,Abnormality of the cardiovascular system (01626),2013.0,31,301,2,1,371,0,"R-HSA-162582,R-HSA-168256,R-HSA-74160,R-HSA-8953897","Signal Transduction,Immune System,Gene expression (Transcription),Cellular responses to stimuli",Transcription factor,0.8,Disease or Syndrome (T047),disease,"Q6FG41,P01100",C0020538,ENSG00000170345,2353,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9333333333333332,,2006.0,SOD3,0.87,0.49,superoxide dismutase 3,1.9833e-05,Abnormality of the cardiovascular system (01626),2006.0,24,301,2,1,371,0,R-HSA-8953897,Cellular responses to stimuli,Enzyme,0.8,Disease or Syndrome (T047),disease,"A0A140VJU8,P08294",C0020538,ENSG00000109610,6649,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9565217391304348,,1991.0,RGS2,0.91,0.54,regulator of G protein signaling 2,2.0581e-05,Abnormality of the cardiovascular system (01626),1991.0,6,301,1,0,371,0,R-HSA-162582,Signal Transduction,Enzyme modulator,0.8,Disease or Syndrome (T047),disease,P41220,C0020538,ENSG00000116741,5997,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.90625,,2004.0,SCNN1G,0.91,0.53,sodium channel epithelial 1 subunit gamma,0.80584,Abnormality of the cardiovascular system (01626),2004.0,14,301,1,59,371,0,"R-HSA-382551,R-HSA-9709957","Transport of small molecules,Sensory Perception",Ion channel,0.8,Disease or Syndrome (T047),disease,"A5X2V1,P51170",C0020538,ENSG00000166828,6340,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.84375,,2012.0,LPL,0.87,0.43,lipoprotein lipase,3.0524e-12,Abnormality of the cardiovascular system (01626),2012.0,39,301,1,211,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-382551,R-HSA-9709957","Developmental Biology,Metabolism,Transport of small molecules,Sensory Perception",Enzyme,0.8,Disease or Syndrome (T047),disease,"P06858,A0A1B1RVA9",C0020538,ENSG00000175445,4023,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8666666666666667,,2008.0,CD36,0.91,0.41,CD36 molecule (CD36 blood group),8.6824e-17,Abnormality of the cardiovascular system (01626),2008.0,25,301,1,116,371,0,"R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-1643685,R-HSA-168256,R-HSA-5653656","Hemostasis,Developmental Biology,Metabolism,Disease,Immune System,Vesicle-mediated transport",Receptor,0.8,Disease or Syndrome (T047),disease,"B7Z6C3,A4D1B1,P16671,E9PLT1",C0020538,ENSG00000135218,948,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2009.0,MTOR,0.96,0.29,mechanistic target of rapamycin kinase,1.0,Abnormality of the cardiovascular system (01626),2009.0,64,301,1,103,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-74160,R-HSA-8953897,R-HSA-9612973","Signal Transduction,Disease,Immune System,Gene expression (Transcription),Cellular responses to stimuli,Autophagy",Kinase,0.8,Disease or Syndrome (T047),disease,"P42345,A0A8V8TQ52",C0020538,ENSG00000198793,2475,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2006.0,ELN,0.87,0.39,elastin,7.2698e-10,Abnormality of the cardiovascular system (01626),2006.0,57,301,1,273,371,0,R-HSA-1474244,Extracellular matrix organization,,0.8,Disease or Syndrome (T047),disease,"Q8NBI4,Q6ZUN2,G3V0G6,B3KRT8,B4E3S4,E7ENM0,P15502,E7EN65,G5E950,Q59H17",C0020538,ENSG00000049540,2006,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9285714285714286,,2020.0,AGER,0.91,0.39,advanced glycosylation end-product specific receptor,2.5887e-14,Abnormality of the cardiovascular system (01626),2020.0,47,301,1,9,371,0,R-HSA-168256,Immune System,Receptor,0.8,Disease or Syndrome (T047),disease,"Q15109,B4DNX3,A0A1U9X785",C0020538,ENSG00000204305,177,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,HIF1A,0.96,0.32,hypoxia inducible factor 1 subunit alpha,0.99998,Abnormality of the cardiovascular system (01626),2012.0,56,301,1,2,371,0,"R-HSA-162582,R-HSA-168256,R-HSA-392499,R-HSA-400253,R-HSA-8953897","Signal Transduction,Immune System,Metabolism of proteins,Circadian Clock,Cellular responses to stimuli",Transcription factor,0.8,Disease or Syndrome (T047),disease,"Q16665,D0VY79",C0020538,ENSG00000100644,3091,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8666666666666667,,2010.0,NPR1,0.87,0.56,natriuretic peptide receptor 1,2.7513e-08,Abnormality of the cardiovascular system (01626),2010.0,9,301,1,2,371,0,R-HSA-397014,Muscle contraction,Kinase,0.8,Disease or Syndrome (T047),disease,"P16066,A0A140VJE6",C0020538,ENSG00000169418,4881,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2003.0,GCH1,0.91,0.49,GTP cyclohydrolase 1,0.3614,Abnormality of the cardiovascular system (01626),2003.0,39,301,1,193,371,0,R-HSA-1430728,Metabolism,Enzyme,0.8,Disease or Syndrome (T047),disease,"P30793,Q8IZH9",C0020538,ENSG00000131979,2643,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.96,,2005.0,UTS2,0.83,0.53,urotensin 2,0.002824,Abnormality of the cardiovascular system (01626),2005.0,7,301,1,6,371,0,R-HSA-162582,Signal Transduction,,0.8,Disease or Syndrome (T047),disease,"O95399,A0AVP6",C0020538,ENSG00000049247,10911,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2002.0,GRK2,0.91,0.49,G protein-coupled receptor kinase 2,1.0,Abnormality of the cardiovascular system (01626),2002.0,14,301,1,4,371,0,"R-HSA-162582,R-HSA-5653656","Signal Transduction,Vesicle-mediated transport",Kinase,0.8,Disease or Syndrome (T047),disease,"P25098,A0A0S2Z392",C0020538,ENSG00000173020,156,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9,,2005.0,AGTR2,0.87,0.47,angiotensin II receptor type 2,,Abnormality of the cardiovascular system (01626),2005.0,13,301,1,0,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.8,Disease or Syndrome (T047),disease,P50052,C0020538,ENSG00000180772,186,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9411764705882352,,2012.0,GLP1R,0.96,0.44,glucagon like peptide 1 receptor,0.98556,Abnormality of the cardiovascular system (01626),2012.0,3,301,1,12,371,0,"R-HSA-1430728,R-HSA-162582","Metabolism,Signal Transduction",G-protein coupled receptor,0.8,Disease or Syndrome (T047),disease,"A0A142FHB8,P43220",C0020538,ENSG00000112164,2740,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9285714285714286,,2012.0,OLR1,0.91,0.47,oxidized low density lipoprotein receptor 1,4.9309e-06,Abnormality of the cardiovascular system (01626),2012.0,20,301,1,2,371,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.8,Disease or Syndrome (T047),disease,P78380,C0020538,ENSG00000173391,4973,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7,,,FTO,0.96,0.43,FTO alpha-ketoglutarate dependent dioxygenase,1.1171e-10,Abnormality of the cardiovascular system (01626),,32,301,0,226,371,0,R-HSA-73894,DNA Repair,,0.8,Disease or Syndrome (T047),disease,"B3KU60,A0A1B0GTC5,Q99770,Q9C0B1",C0020538,ENSG00000140718,79068,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8518518518518519,,,ADRB3,0.83,0.5,adrenoceptor beta 3,2.7754e-16,Abnormality of the cardiovascular system (01626),,23,301,0,3,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.8,Disease or Syndrome (T047),disease,"A8KAG8,P13945",C0020538,ENSG00000188778,155,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,,HGF,0.91,0.35,hepatocyte growth factor,0.99616,Abnormality of the cardiovascular system (01626),,57,301,0,8,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-1643685,R-HSA-168256","Hemostasis,Signal Transduction,Disease,Immune System",Enzyme,0.8,Disease or Syndrome (T047),disease,P14210,C0020538,ENSG00000019991,3082,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,SGK1,0.87,0.52,serum/glucocorticoid regulated kinase 1,0.0020197,Abnormality of the cardiovascular system (01626),,10,301,0,4,371,0,"R-HSA-162582,R-HSA-382551,R-HSA-74160","Signal Transduction,Transport of small molecules,Gene expression (Transcription)",Kinase,0.8,Disease or Syndrome (T047),disease,"B7Z325,E9PR89,O00141",C0020538,ENSG00000118515,6446,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,KDR,0.96,0.35,kinase insert domain receptor,1.0,Abnormality of the cardiovascular system (01626),,62,301,0,23,371,0,"R-HSA-1474244,R-HSA-162582,R-HSA-1643685","Extracellular matrix organization,Signal Transduction,Disease",Kinase,0.8,Disease or Syndrome (T047),disease,P35968,C0020538,ENSG00000128052,3791,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,ESR2,0.91,0.37,estrogen receptor 2,5.8401e-10,Abnormality of the cardiovascular system (01626),,49,301,0,15,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-74160","Signal Transduction,Disease,Gene expression (Transcription)",Nuclear receptor,0.8,Disease or Syndrome (T047),disease,"F1D8N3,Q7LCB3,Q92731,A0A348FV93,Q0PTK2",C0020538,ENSG00000140009,2100,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8181818181818182,,,PKD1,0.83,0.47,"polycystin 1, transient receptor potential channel interacting",1.0,Abnormality of the cardiovascular system (01626),,55,301,0,1377,371,4,R-HSA-1852241,Organelle biogenesis and maintenance,,0.8,Disease or Syndrome (T047),disease,P98161,C0020538,ENSG00000008710,5310,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,DRD1,0.91,0.49,dopamine receptor D1,0.99991,Abnormality of the cardiovascular system (01626),,20,301,0,1,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.8,Disease or Syndrome (T047),disease,P21728,C0020538,ENSG00000184845,1812,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,COMT,0.96,0.38,catechol-O-methyltransferase,0.00049511,Abnormality of the cardiovascular system (01626),,80,301,0,21,371,0,"R-HSA-112316,R-HSA-1430728,R-HSA-1643685","Neuronal System,Metabolism,Disease",Enzyme,0.8,Disease or Syndrome (T047),disease,"P21964,A0A140VJG8",C0020538,ENSG00000093010,1312,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8571428571428571,,,DBH,0.96,0.49,dopamine beta-hydroxylase,9.2071e-13,Abnormality of the cardiovascular system (01626),,22,301,0,162,371,0,R-HSA-1430728,Metabolism,,0.8,Disease or Syndrome (T047),disease,P09172,C0020538,ENSG00000123454,1621,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9655172413793104,,,EPHX2,0.83,0.49,epoxide hydrolase 2,4.6556e-22,Abnormality of the cardiovascular system (01626),,16,301,0,21,371,0,"R-HSA-1430728,R-HSA-9609507","Metabolism,Protein localization",Enzyme,0.8,Disease or Syndrome (T047),disease,P34913,C0020538,ENSG00000120915,2053,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2006.0,NCF1,0.91,0.47,neutrophil cytosolic factor 1,0.82043,Abnormality of the cardiovascular system (01626),2020.0,17,301,4,15,371,0,"R-HSA-162582,R-HSA-168256,R-HSA-8953897","Signal Transduction,Immune System,Cellular responses to stimuli",,0.8,Disease or Syndrome (T047),disease,P14598,C0020538,ENSG00000158517,653361,protein-coding,1,3,3
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.868421052631579,,2002.0,VWF,0.96,0.35,von Willebrand factor,4.5035000000000005e-27,Abnormality of the cardiovascular system (01626),2012.0,41,301,3,559,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-1643685","Hemostasis,Extracellular matrix organization,Signal Transduction,Disease",Enzyme modulator,0.8,Disease or Syndrome (T047),disease,P04275,C0020538,ENSG00000110799,7450,protein-coding,8,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8333333333333334,,1999.0,AR,0.96,0.33,androgen receptor,,Abnormality of the cardiovascular system (01626),1999.0,42,301,1,242,371,0,"R-HSA-162582,R-HSA-392499,R-HSA-74160,R-HSA-8953897","Signal Transduction,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli",,0.8,Disease or Syndrome (T047),disease,"A0A087WUX9,F1D8N5,G4VV16,P10275,Q9NUA2",C0020538,ENSG00000169083,367,protein-coding,1,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7619047619047619,,2012.0,PLAT,0.96,0.36,"plasminogen activator, tissue type",5.9432e-07,Abnormality of the cardiovascular system (01626),2012.0,92,301,1,6,371,0,"R-HSA-109582,R-HSA-162582","Hemostasis,Signal Transduction",Enzyme,0.8,Disease or Syndrome (T047),disease,"B4DN26,P00750",C0020538,ENSG00000104368,5327,protein-coding,4,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,ADD2,0.61,0.68,adducin 2,1.0,Abnormality of the cardiovascular system (01626),,2,301,0,0,371,0,R-HSA-382551,Transport of small molecules,Cellular structure,0.8,Disease or Syndrome (T047),disease,"P35612,Q05DK5",C0020538,ENSG00000075340,119,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,FABP3,0.91,0.45,fatty acid binding protein 3,0.027265,Abnormality of the cardiovascular system (01626),,4,301,0,0,371,0,R-HSA-1430728,Metabolism,,0.8,Disease or Syndrome (T047),disease,"P05413,A0A384MDY5",C0020538,ENSG00000121769,2170,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,,NPPC,0.83,0.52,natriuretic peptide C,0.2199,Abnormality of the cardiovascular system (01626),,8,301,0,3,371,0,R-HSA-397014,Muscle contraction,Signaling,0.8,Disease or Syndrome (T047),disease,"P23582,E5LCN7",C0020538,ENSG00000163273,4880,protein-coding,2,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2001.0,FN1,0.91,0.35,fibronectin 1,1.0,Abnormality of the cardiovascular system (01626),2007.0,37,301,2,109,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499","Hemostasis,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins",Signaling,0.75,Disease or Syndrome (T047),disease,"Q9UQS6,P02751,Q6MZM7,Q6N084,Q6MZF4,B7ZLE5",C0020538,ENSG00000115414,2335,protein-coding,0,2,2
